Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.95,0.965,0.9599,0.9599,0.9661,0.9673,0.9604,0.9458,0.9498,0.968
Hamm_score,0.9903,0.9937,0.9925,0.9925,0.9938,0.9941,0.9926,0.9893,0.9905,0.9943
Examp_F1,0.9506,0.9656,0.9602,0.9602,0.9665,0.9678,0.9604,0.9471,0.9501,0.969
Examp_prec,0.9758,0.9914,0.9893,0.9893,0.9927,0.9924,0.995,0.9699,0.9823,0.993
Examp_rec,0.9683,0.9689,0.9656,0.9656,0.9684,0.9703,0.9604,0.9702,0.9627,0.9708
Micro_F1,0.2533,0.3615,0.2252,0.2252,0.3517,0.4161,0,0.2794,0.094,0.5075
Micro_prec,0.296,0.7074,0.4843,0.4843,0.7831,0.7871,0.995,0.2786,0.1595,0.8768
Micro_rec,0.2214,0.2427,0.1467,0.1467,0.2267,0.2828,0,0.2801,0.0667,0.3571
Macro_F1,0.1702,0.1911,0.1,0.1,0.1749,0.248,0,0.1954,0.0638,0.182
Macro_prec,0.1967,0.4993,0.5033,0.5033,0.7965,0.6249,0.995,0.1957,0.1023,0.8734
Macro_rec,0.1509,0.163,0.0952,0.0952,0.1496,0.1938,0,0.1952,0.0466,0.1769
