Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.1605,0.1694,0.1632,0.1627,0.1654,0.2595,0.289,0.1568,0.1664,0.198
Hamm_score,0.0597,0.0728,0.0754,0.0754,0.0727,0.0735,0.0744,0.0657,0.0642,0.0559
Examp_F1,0.518,0.4267,0.2634,0.2632,0.2863,0.2917,0.2906,0.4948,0.4678,0.5351
Examp_prec,0.6253,0.6387,0.7239,0.7228,0.743,0.928,0.9918,0.6,0.6533,0.7052
Examp_rec,0.7006,0.5786,0.3692,0.3695,0.3841,0.3157,0.2929,0.6798,0.6181,0.6606
Micro_F1,0.5929,0.4587,0.1616,0.1623,0.1931,0.0609,0.0036,0.5549,0.5156,0.5791
Micro_prec,0.5969,0.51,0.4634,0.463,0.5487,0.5967,0.4012,0.5557,0.5831,0.6525
Micro_rec,0.5889,0.4167,0.0978,0.0984,0.1172,0.0321,0.0018,0.5541,0.4621,0.5205
Macro_F1,0.5441,0.3476,0.1518,0.1522,0.0449,0.0511,0.0009,0.4909,0.4593,0.5267
Macro_prec,0.5269,0.5026,0.3357,0.3364,0.7954,0.7282,0.9009,0.4738,0.5503,0.6296
Macro_rec,0.5668,0.3013,0.13,0.1303,0.0317,0.0304,0.0004,0.5143,0.4068,0.4663
